id,btitleinquery,longestprefix,longestsuffix,longestQueryPrefixPerc,longestQuerySuffixPerc,longestTitlePrefixPerc,longestTitleSuffixPerc,numtitledigits,numquerydigits,numdigitdiff,bindigiteq,charjaccardsim,charngcount3,charngjacc3,charngcount4,charngjacc4,charngcount5,charngjacc5,charngcount6,charngjacc6,charngcount7,charngjacc7,wordngcount1,leftngcount1,wordngjacc1,wordngcount2,leftngcount2,wordngjacc2,wordngcount3,leftngcount3,wordngjacc3,wordngcount4,leftngcount4,wordngjacc4,wordngcount5,leftngcount5,wordngjacc5,outcome
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11764705882352941,52.0,0.5576923076923077,51.0,0.5686274509803921,49.0,0.5714285714285714,47.0,0.574468085106383,45.0,0.5777777777777777,8.0,3.0,0.625,8.0,3.0,0.625,8.0,3.0,0.625,8.0,3.0,0.625,8.0,3.0,0.625,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38095238095238093,72.0,0.75,73.0,0.7671232876712328,73.0,0.7808219178082192,72.0,0.7916666666666666,71.0,0.8028169014084507,12.0,0.0,0.75,12.0,0.0,0.75,12.0,0.0,0.75,12.0,0.0,0.75,12.0,0.0,0.75,4
4,1.0,0.0,9.0,0.0,1.0,0.0,0.21428571428571427,4.0,0.0,4.0,0.0,0.6666666666666666,38.0,0.8157894736842105,38.0,0.8421052631578947,38.0,0.868421052631579,37.0,0.8918918918918919,36.0,0.9166666666666666,5.0,0.0,0.8,5.0,0.0,0.8,5.0,0.0,0.8,5.0,0.0,0.8,5.0,0.0,0.8,4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5263157894736842,62.0,0.8870967741935484,62.0,0.9032258064516129,62.0,0.9193548387096774,62.0,0.9354838709677419,61.0,0.9508196721311475,9.0,1.0,0.7777777777777778,9.0,1.0,0.7777777777777778,9.0,1.0,0.7777777777777778,9.0,1.0,0.7777777777777778,9.0,1.0,0.7777777777777778,4
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5789473684210527,43.0,0.813953488372093,43.0,0.8372093023255814,43.0,0.8604651162790697,43.0,0.8837209302325582,43.0,0.9069767441860465,6.0,0.0,0.6666666666666666,6.0,0.0,0.6666666666666666,6.0,0.0,0.6666666666666666,6.0,0.0,0.6666666666666666,6.0,0.0,0.6666666666666666,2
8,0.0,7.0,0.0,0.3181818181818182,0.0,0.14583333333333334,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,45.0,0.5555555555555556,48.0,0.6041666666666666,50.0,0.64,51.0,0.6666666666666666,52.0,0.6923076923076923,6.0,1.0,0.5,6.0,1.0,0.5,6.0,1.0,0.5,6.0,1.0,0.5,6.0,1.0,0.5,3
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4090909090909091,40.0,0.675,39.0,0.6923076923076923,37.0,0.7027027027027027,35.0,0.7142857142857143,33.0,0.7272727272727273,8.0,2.0,0.75,8.0,2.0,0.75,8.0,2.0,0.75,8.0,2.0,0.75,8.0,2.0,0.75,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4583333333333333,72.0,0.6944444444444444,72.0,0.7083333333333334,72.0,0.7222222222222222,72.0,0.7361111111111112,72.0,0.75,11.0,0.0,0.7272727272727273,11.0,0.0,0.7272727272727273,11.0,0.0,0.7272727272727273,11.0,0.0,0.7272727272727273,11.0,0.0,0.7272727272727273,4
17,0.0,0.0,1.0,0.0,0.058823529411764705,0.0,0.010752688172043012,0.0,0.0,0.0,1.0,0.55,92.0,0.8369565217391305,97.0,0.8556701030927835,98.0,0.8673469387755102,98.0,0.8775510204081632,97.0,0.8865979381443299,16.0,4.0,0.75,16.0,4.0,0.75,16.0,4.0,0.75,16.0,4.0,0.75,16.0,4.0,0.75,2
20,1.0,0.0,2.0,0.0,0.16666666666666666,0.0,0.045454545454545456,0.0,0.0,0.0,1.0,0.5263157894736842,42.0,0.7619047619047619,41.0,0.7804878048780488,40.0,0.8,39.0,0.8205128205128205,38.0,0.8421052631578947,6.0,0.0,0.6666666666666666,6.0,0.0,0.6666666666666666,6.0,0.0,0.6666666666666666,6.0,0.0,0.6666666666666666,6.0,0.0,0.6666666666666666,4
