"id","query","product_title","product_description","median_relevance","relevance_variance"
1,"bridal shower decor","accent pillow heart design ","red satin accent pillow embroid heart black thread x ",1,0
2,"led christma light","set number batteri oper multi led train christma light clear wire","set number batteri oper train christma light item featur color multicolor bulb match train light cover clear wire multicolor consist blue yellow bulb number bulb string number bulb size micro led space bulb number inch light length number number feet total length number number feet number inch lead cord addit product featur led light use less energi cool touch one bulb burn rest will stay lit light equip lamp lock make interchang keep fall requir number batteri conveni switch locat batteri pack timer function batteri pack allow number hour number hour connect multipl set togeth list indoor use train dimens number x number x ",4,0
4,"projector","viewson pro8200 dlp multimedia projector","",4,0.471
5,"wine rack","concept housewar wrnumber solidwood wine charcoal number bottl","like silent sturdi southern enterpris bird branch coat rack eyecatch addit home tree theme coat rack featur strong branch pinecon accent small bird perch top give whimsic welcom appear still make sturdi enough hold umbrella whether serv coat hat rack combin great space saver get appreci grace appear number hook number frame materi metal hardwar materi metal dimens number number h x number number w x number number d weight number number lb assembl detail assembl requir",4,0
7,"light bulb","wintergreen light christma led light bulb ","wtgr1011 featur nickel averag acryl resin bulb materi christma light bulb steadi dimmabl replac lamp nickel base prevent corros socket wattag number number watt voltag number volt dimmabl yes light sourc led bulb shape type candl color amber bulb color amber",2,0.471
8,"oakley polar radar","oakley sunglass radar path polish sunglass","durabl day comfort stressresist o frame materi integr surg port channel cool airflow optim peripher view side coverag polar len geometri come standard oakley antismudg len coat comfort perform threepoint fit hold lens precis optic align metal icon accent optic precis perform meet ansi z87 number standard impact resist meet ansi z87 number standard highmass highveloc impact uv protect len filter uva uvb uvc harm blue light number nm glare reduct tune light transmiss len coat multipl interchang nose pad option customiz comfort secur fit protect sportsspecif oakley soft vault includ capac extra len polish black len",3,1.166
10,"boyfriend jean"," make american quilt"," number director jocelyn moorhous film adapt novel whitney otto star winona ryder finn berkeley graduat student summer hiatus grandmoth home work thesi ponder marriag propos sam finn hy live great gladi jo idyl northern california home two fieri women meet seven older femal relat close friend regular quilt led anna cours finn contempl futur gain insight love relationship differ member quilt bee experi brought life woman share uniqu tale confus young woman interwoven memori sage member quilt beeinclud constanc anna mariana finn freespirit salli lesson emot growth finn women work make wed quilt memori becom vivid flashback subt weav past present togeth creat color collect featur young star includ clair dane samantha mathi individu women youth tribut women friendship make american quilt shine cast star actress",1,0
13,"screen protector samsung","zagg invisibleshield cell phone screen protector samsung galaxi s4 mini","protect precious technolog zagg invisibleshield cell phone screen protector samsung galaxi s4 mini yet slim almost scratchresist screen protector will one youll ever need design nanomemori technolog allow small scratch selfheal samsung galaxi s4 mini screen protector also resist tear punctur bubblefre applic easi achiev shield ever get damag start problem youv got warranti lifetim devic",4,0
17,"pot pan set","cook n home stainless steel numberpiec pasta steamer multipot encapsul numberquart","ultim pasta veget steamer cook set includ four piec numberquart stock pot temper glass steamer insert pasta insert mirror polish stainless steel stock pot featur encapsul bottom aluminum core bottom layer provid even heat distribut",2,0.632
20,"waffl maker","presto flipsid electr waffl maker number","pleas waffl lover famili electr waffl maker presto stainless steel construct provid even heat uniqu flip design ensur fluffi waffl uniqu flip design even spread batter waffl crispi outsid tender insid",4,0.471
28,"oakley radar","oakley radar pitch replac len one size"," technolog advanc piec sport equip sure get oakley engin interchang len design let adapt sport environ three uniqu len shape can choos amount coverag work best outdoor way mother natur sculptur facial physiqu offer wide rang accessori len set includ vent design offer cool well best polar lens sun oakley polar technolog use liquid infus process bond polar filter molecular level elimin haze distort found convent technolog achiev unbeat glarecut perform durabl len materi offer superior impact protect filter uv ray high definit maxim clariti patent innov like polar geometri crystal clear vision everi angl view",3,0.471
31,"workout cloth women","plus size peyton tank tulah","",3,0
32,"decor pillow","surya ruffl circl decor pillow gray 18x18 poli fill","stylish yet surya toss pillow will make perfect accent bedroom live room solid color pillow textur accent leap pillow featur beig choos squar pillow squar pillow addit choos pillow polyest fill fill polyest cover remov spot clean import",4,0.943
35,"wall clock","lorel round profil radio control wall clock","lorel round profil radio control wall clock digit quartz atom",4,0
46,"cuisinart coffe maker","cuisinart dccnumber perfectemp numbercup programm coffeemak","cuisinart numbercup programm coffeemak equip cuttingedg coffe technolog give hotter coffe without sacrif tast choos flavor profil regular bold strength set brewtim numberhour ahead backlit lcd readi tone can turn indic light signal time decalcifi",4,0
52,"thoma train","bachmann train thoma christma express ho scale readi run electr train set","make holiday brighter thoma christma ho scale readi run electr train set sport jolli hat equip snow thoma readi brave winter weather make sure christma tree import cargo arriv time island sodor holiday parti wonder decor tree perfect gift thoma fan festiv thoma christma express will deliv yuletid fun children readyrun train set includ thoma tank engin holiday move open wagon decor flat car crate merri christma ventil x oval snapfit ez power speed control instruct booklet",4,0.943
54,"silver necklac","fremada sterl silver freeform necklac","craft sterl necklac offer radiant glow chain secur spring ring closur necklac versatil contemporari make perfect everyday accessor",4,0
56,"bluray hobbit extend","hobbit battl five armi bluray disc widescreen number","bluray disc widescreen number star richard martin ian new number",3,0.748
58,"cat grass","gimborn number cat grass plus singl cat 60gr","gimborn number cat grass plus singl cat 60gr bring great outdoor insid catgrass plus satisfi urg eat fresh veget preserv precious housepl uniqu formula requir water grow straight contain cat grass plus help natur digest system also act natur hairbal remedi grass grow just one week type singl catitem weight number gram",4,0
59,"soda stream","sodastream home soda maker kit","make perfect soda seltzer home push can transform tap water fresh made soda sodastream genesi home soda maker econom easi use just fill includ reusabl carbon bottl screw machin press larg button top add fizz want make soda flavor seltzer just add flavor choic save save save energy cut carbon reusabl onelit carbon bottl save carri larg soda seltzer case store youll also enjoy great take everyth homemad soda seltzer cost number cent per liter youll help environ drastic reduc wast storebought can bottl kit includ one x number x number sodastream genesi home soda one numberlit one reusabl bpafre carbon one sodamix varieti pack sampler number diet energi drink flavor click nutrit inform make soda just way like less even creat order sodastream genesi home soda maker kit brookston",3,0.471
63,"microwav","frigidair ffce1439lb microwav oven freestand black","",4,0
64,"aqua shoe","nurs mate bryar aqua","",4,1.414
65,"leather men briefcas","royc leather rfid block men bifold wallet doubl id flap genuin leather","clever way keep privat inform protect royc leather rfid block men bifold wallet shield place wallet interior keep electron card reader steal person inform rfid bifold wallet made highqual genuin leather conveni doubl id flap eight slot credit busi card featur two long dollar bill carrier handsom wallet thought gift idea men life",3,0.943
